Leg_ID,Shipment_ID,start_leg_location,end_leg_location,document_type_code,document_type_description
1,1,7 Fairview Court,41 Westport Parkway,1,Xvuxxmfkqveygh
2,2,92662 Moulton Lane,285 Dapin Street,2,Oswbnawuozlkir
3,3,4 Lakewood Avenue,87073 Mayfield Plaza,3,Shhyfqomtzrrxq
4,4,15312 Cascade Pass,59090 Lakeland Drive,4,Wtruoehfuqopkv
5,5,7 Longview Park,9 Holy Cross Lane,5,Dcwjgrelpvgtco
6,6,063 Bashford Pass,155 Bluestem Way,6,Pluwvkybobxoau
7,7,80 Fairview Hill,5487 Norway Maple Point,7,Djynbtwskzdvti
8,8,86372 Macpherson Court,04 John Wall Avenue,8,Iyatcuiqgmjjeo
9,9,4367 Lakeland Junction,19623 6th Plaza,9,Inxzbastacqsxj
10,10,5988 Ridgeway Center,6 Coleman Avenue,10,Hssktwzqdvmfmf
11,11,9914 Green Ridge Road,344 Arrowood Avenue,11,Izucldrkpppyya
12,12,1 Oriole Park,4 Blackbird Center,12,Igmqyqyupjvwrh
13,13,4 Melvin Street,8 Calypso Court,13,Inwiwdkomdaome
14,14,60 Caliangt Crossing,56486 Meadow Valley Street,14,Sdxcdhcfzgmcte
15,15,21163 Namekagon Park,53 Shopko Crossing,15,Lrrpakbiykpaxy
16,16,5139 Dunning Pass,02604 Dorton Court,16,Qfubdsxieurbfm
17,17,50 Green Ridge Center,4 High Crossing Court,17,Lcluateyjyslrp
18,18,703 Emmet Parkway,924 Monterey Crossing,18,Wzbqmxunswxesz
19,19,6409 Division Junction,31241 Tennyson Avenue,19,Jqvztcdyhixjci
20,20,31 Mockingbird Park,98607 Sage Center,20,Walofuhnuicuwc
21,21,62 Kings Crossing,8 Mallard Trail,21,Tnexknjokubfle
22,22,5 Sycamore Street,1967 Crest Line Hill,22,Zhejsojnmvbvpq
23,23,841 Spohn Circle,9 Portage Junction,23,Oypcnaxsvtxwej
24,24,134 Dwight Pass,5144 Dovetail Plaza,24,Vjxvwpxsuktcki
25,25,55 Dennis Way,927 Rutledge Terrace,25,Ftlvgqslxfszqb
26,26,784 South Court,456 Walton Parkway,26,Xvrtforfzprvru
27,27,53844 Oriole Avenue,33 Sachtjen Center,27,Ncwpyblzinkleb
28,28,3179 Surrey Court,29218 Hayes Circle,28,Edtxdrcnxnxftt
29,29,94048 Independence Crossing,92050 Susan Drive,29,Djpqdclekakelm
30,30,089 Bunker Hill Point,210 Eggendart Point,30,Vyuspkvkfkrgxl
31,31,899 Laurel Parkway,20746 Gale Plaza,31,Fabwvhoeplffuh
32,32,91567 Pearson Drive,1 Stephen Parkway,32,Vdolnlucemrsuu
33,33,082 Barby Lane,4978 Vermont Park,33,Xchedbapdlutsh
34,34,67491 Sommers Lane,1457 Farragut Point,34,Fwfllwlodcxkas
35,35,02173 Basil Pass,0 Erie Court,35,Clegsrwxbctqeu
36,36,59 Onsgard Road,511 Kinsman Pass,36,Zjvxrsctlmxdew
37,37,628 Lakewood Gardens Hill,81 Dixon Parkway,37,Ezjwwqcagfcblp
38,38,69 Karstens Alley,3251 Truax Way,38,Ccgnznznauzqic
39,39,03086 Autumn Leaf Way,50 Bellgrove Alley,39,Lviswgguwdscgg
40,40,407 Buell Crossing,99704 Clyde Gallagher Alley,40,Gzjmrrxodweauj
41,41,818 Basil Terrace,57 Moose Circle,41,Mrpgifgesdjvha
42,42,084 Larry Pass,83 Dunning Road,42,Cebnssagakemiq
43,43,197 Hooker Court,20706 East Circle,43,Nhpmsmnsiznrgk
44,44,53084 Forest Hill,3 Cottonwood Street,44,Gsbjeehbhvzgrd
45,45,02 Acker Lane,94 Granby Street,45,Xjjeodthcalonn
46,46,9383 Duke Drive,010 Morningstar Plaza,46,Yghctbbezgjmup
47,47,492 Morningstar Trail,80559 Parkside Court,47,Tuffozlkccfigx
48,48,76 Northport Point,683 Roth Junction,48,Iwfdznioazwubt
49,49,11 Petterle Terrace,2705 Eagle Crest Way,49,Mgbjiqythqasgs
50,50,8 Gina Road,297 Golden Leaf Lane,50,Apjiqsfroedtgd
51,51,09934 Golden Leaf Court,57635 Scoville Circle,51,Vdpkqnemgnljkd
52,52,94605 Manufacturers Crossing,88 Vidon Circle,52,Slnfdbmovmyenh
53,53,725 Barnett Road,3198 Dixon Park,53,Jkecgfxbdebekt
54,54,622 Village Green Pass,5562 Prairie Rose Crossing,54,Azvdaejdjpznxx
55,55,71 Prentice Street,1520 Drewry Plaza,55,Xofzlznfwnvqcg
56,56,19 Longview Place,53515 Bunker Hill Junction,56,Xxbbysxdirbdkf
57,57,79424 Weeping Birch Crossing,052 Anhalt Road,57,Skhywnslegxbzn
58,58,691 Tennessee Road,94 Garrison Road,58,Mohhshyeoqqjtj
59,59,78 Nevada Trail,282 Hallows Way,59,Ahmwieqgtrkiqx
